grant_id,Title,Donations Standard deviation,Variety of tokens,Variety of chain,Variety of days,Votes,Total raised
7528,Nafi Durmus,2.2589902670095223,3,2,2,5,11.273743750000001
373,Nym,1.901935055416519,3,2,6,6,11.342413096405858
1773,Swivel Finance,0.4215648394652793,3,3,7,9,11.4393282
7102,W3B - Raffle Ticket Open Proto,1.1116939239805326,3,3,4,8,11.475124999999998
7323,Socious - decentralized gig ma,0.40547469813488524,4,3,4,9,11.61974723
811,TokenBrice: Evangelizing DeFi,1.4696938233885277,2,1,5,6,11.62597701
792,KERNEL 🌱 : My Contributions,1.4553269275066962,4,2,5,6,11.674048595
7458,Vega Entertainment：A World all,0.7092971607701072,2,2,5,8,11.724852825
3771,INFRASTRUCTURE FOR INTEROPERAB,2.134552819046221,3,3,5,5,11.768761532
2067,Peoples' Cooperative [Panvala,1.4620903045674465,3,2,5,6,11.861733837956741
1825,Friends of the Bairro da Juven,5.947267092200105,1,1,1,2,11.89453418440021
7634,Awake - On-chain shareholder c,0.4047706724584083,2,3,5,9,11.9035205
7898,MeTag,1.356532508347884,3,3,4,7,11.9233427
4779,HeliosDAO - Reducing 10M tonne,0.1928014616230464,2,2,4,10,11.98333935
6069,swift-libp2p,3.999999999999999,1,1,2,2,11.999999999999998
7154,DAO Coalition,0.8,2,2,3,5,12.0
7424,Ecologyhub Ebre,4.0,1,1,2,2,12.0
4847,ZKML,2.119897272449087,4,2,3,4,12.006042399999998
290,Meson,3.084842525397964,2,2,4,4,12.045608820999998
120,Nori,0.009177565266857583,3,2,3,12,12.0930775
555,Loan Shark,4.219267972317263,1,2,3,3,12.1
7858,"Education, Equity, and Support",2.287677951891517,3,3,3,6,12.151517230000001
1297,WhalerDAO,1.3917894808145816,2,2,6,7,12.19174
5422,EXOTHIUM  -  Open Source Gamin,1.3130385656950527,3,2,4,8,12.241011535
902,Marma J Foundation (Marma J DA,1.181895986436859,3,2,2,3,12.49282
7790,INVESTERA - changing the face,3.7028258750000003,2,1,2,2,12.59434825
3502,ETH Daily Podcast,0.20210225990696923,3,2,6,11,12.81922
3963,ecodao,0.0,1,1,1,1,12.8365
1776,Valist,4.190964616443392,1,2,2,3,12.864035999999999
2268,JPYC,0.0,1,1,1,1,12.94995
7363,Willer. Delayed token recovery,3.4335449999999996,2,1,2,2,13.132909999999999
328,Ether Data Science,0.0,1,1,1,1,13.19935
375,Sense Collective: Collaborativ,0.0,1,1,1,1,13.19935
7807,Earth API,0.0,1,1,1,1,13.19935
454,ETHGANG RECORDS crypto art & N,0.7370657228244415,4,2,5,8,13.530116075
6142,Regenerative Community Land Tr,1.823404424389468,3,3,6,7,13.544258750000001
7817,Async - Onboarding the next 10,3.8822921402725754,3,3,1,3,13.565529999999999
425,Turkish Cryptocurrency YouTube,2.515173167817454,4,2,3,4,13.76374375
7555,Allow next 10 million ENS user,3.78321226566459,3,2,4,4,13.86938
4271,Quantum Secure Crypto Wallet :,1.950447378987687,4,3,4,7,14.373743750000001
1424,NFT Education | FRACTIONALIZE,1.768404477417298,2,2,5,5,14.385520532000001
6789,Scale EverGreenCoin for a Glob,2.0247172909536864,2,2,4,6,14.577982900000002
2400,Ethereal Art Museum DAO,1.6949340394127193,3,2,5,7,14.810604999999999
4038,dEth / TypeChain,2.43236,2,1,2,2,15.13528
7013,Newschain,1.5556137869836049,3,2,3,6,15.197424999999999
529,Cryptotesters - Onboard people,3.3398652636500934,2,2,5,6,15.2013406
7179,SamePage Network,1.596030330207367,3,2,5,7,15.248045000000001
75,Ethereum Dev Fund Working Grou,1.70249510341327,3,3,4,5,15.303321350000001
2130,Ethereum Studymaster,1.7454485878765202,2,2,4,6,15.439505
5048,🌟Quests,5.89630558914271,2,2,3,3,15.522950000000002
4119,The Decarbonization Warp Drive,0.2557805462694563,4,3,6,14,15.561273150000002
6631,Genki,5.273370002327174,2,2,2,3,15.653116075000003
5359,VESS : Self-sovereign Work Cre,5.033506689805547,3,3,3,4,15.739705000000002
6702,AnyDAO: DAO-as-a-Service Enabl,5.249138339959778,2,2,3,3,15.744459250000002
6113,DAOU: Maximize your social cap,5.0237079077892455,3,2,3,4,15.807447000000003
6426,Earthshot - Restoring Humanity,7.0,2,1,2,2,16.0
6899,NFT price oracle----Bid to Ear,1.1371693359842048,4,2,7,10,16.0481379
7584,MyLuksoWallet,0.2568372822961897,5,3,9,14,16.05117767
5040,Beyond Pollinator-Friendly: Ec,3.6037018004638877,2,1,3,3,16.2
7489,The Floo Network,1.3474058160621967,4,3,5,8,16.794059
7573,Replabs: Multi-dimensional rep,1.1354273358473337,3,3,6,10,16.84526635
7160,Breakthru: Learn-2-Earn for st,0.0,1,1,1,1,17.053600000000003
1047,IntelliJ Solidity,5.597396069056476,2,2,3,3,17.09555
7613,Besteam,0.0,1,1,1,2,17.2167
